lat,lng,place_name,segement_type,annotation,id
30.2049088,-97.6671315,Austin-Bergstrom International Airport,Start,"At the time of this trip, there was a big rental car shortage (and shortage of cars in general). The lot was almost completely empty - they were cleaning cars that had just been turned in and handing them over to people who were in line with reservations as fast as possible. Luckily we only had to wait about 20 minutes for a Nissan compact SUV.",1
30.2192082,-97.75524109999999,Walmart Supercenter,Supplies,"We got a styrofoam cooler and some supplies for sandwiches at Walmart so we could have food for a quick meal no matter where we were throughout the trip. We also picked up basic things like sunscreen, a first aid kit, and lots of water to keep in the car.",2
30.282339,-97.7429033,The Otis Hotel,Hotel,The Otis Hotel in Austin shares a building the the AC Marriot. It has record players in the rooms and you can check out vinyls in the lobby - we checked out Polo & Pan - Caravelle which happened to be on our road trip playlist. It has a nice rooftop bar that we hung out at for a little bit before calling it an early night due to the time change.,3
30.2833507,-97.7415642,Target,Groceries,We walked to the Target up the street to get coffee and a couple more things to keep in the cooler for the road.,4
30.2706904,-97.75237609999999,QI Austin: Modern Asian Kitchen,Dinner,We went to Qi based on a recommendation but we didn't have a reservation so we sat at the dim sum bar which turned out to be perfect. It wasn't cheap but it was a really good dinner and it would be fun to go back with a bigger group of people.,5
30.26975839999999,-97.7481007,OneTaco Taquería @ Little Woodrows (Food Trailer),Breakfast,We wanted to try some breakfast tacos in Austin so we looked up a place on our way out and ended up stopping here. They were super good and cheap - we should have bought extra for the road.,6
30.235495,-98.6666336,Gold Orchards Inc,Stop,This area has a ton of peach farms so we stopped by one and bought a little basket of ripe yellow peaches (probably too ripe for a road trip in hindsight).,7
30.2752011,-98.8719843,Wedding Oak Winery,Winery,We were surprised by the number of wineries in the area and ended up stopping at Wedding Oak Winery since the name was appropriate for the occasion. They had a couple of cool wines that were soaked in hops. We shared a quick tasting and had sandwiches in the car before heading out. Fredericksburg's main street has a lot going on but we decided to keep heading towards Terlingua.,8
30.1212487,-98.73231439999999,Shell,Stop,The guy who sold us the peaches told us there was a restroom in the Shell a few miles down the road so we took his advice and stopped there (he told us not to buy gas there so we didn't).,9
30.70637919999999,-101.1992355,Stripes Convenience Store,Gas,Ozona was one of our planned stops for gas.,10
30.7065678,-101.202931,Sonic Drive-in,Stop,This summer was breaking records for high temperatures - we stopped at the Sonic down the road to get a snack and some water.,11
30.3587474,-103.6620274,"Reata Restaurant-Alpine, TX",Dinner,"Alpine was one of our planned stops in between Austin and Terlingua, we looked up a place for an early dinner and ended up going to Reata which was pretty good and cheap.",12
30.3579647,-103.6610776,Greetings from Alpine Texas - Mural,Sight,There was a cool mural we found as we were walking to dinner and we stopped there on our way back to the car.,13
29.322339,-103.6154129,La Posada Milagro Guesthouse,Hotel,"The drive to Terlingua has a ton of ranches on the way. Our hotel was a cluster of casitas in the Terlingua ""Ghost Town"" which didn't seem that ghostly to me. It has a shared outdoor kitchen with an awesome view and we met some nice people who spend a lot of time at Big Bend National Park there.",14
29.31983,-103.6118215,Starlight Theatre Restaurant,Drinks,We walked down to the Starlight Theatre for a drink while we waited for the sun to set so we could go stargazing. It was pretty quiet but has a nice stage and I imagine it's awesome when there is live music. Someone told us they have festivals in the area and it gets packed then but it was nice and quiet while we were there.,15
29.327821,-103.2059287,Panther Junction Visitor Center,Visitor Center,The Panther Junction Visitor Center is on the way to the first trail we were heading towards and we had to stop there to get a park pass (because I forgot it). While we were waiting for the center to open we met a park volunteer who does illustrations for park materials (he was working on something for Junior Rangers at the time).,16
29.2704029,-103.300428,Chisos Basin Visitor Center,Visitor Center,"Once we got a new park pass, we drove to Chisos Basin and hiked part of the Window View trail from there.",17
